"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 04 16:59:20 EEST 2026","Sat Jul 04 16:59:24 EEST 2026","3831","IoT Automation Suite","Regression Tests","com.dxc.iot.tests.SettingsTests","com.dxc.iot.tests.SettingsTests","testInfoMetricChips_A055","testInfoMetricChips_A055",""
"passed","Sat Jul 04 17:55:13 EEST 2026","Sat Jul 04 17:55:18 EEST 2026","4814","IoT Automation Suite","Sprint 4 & 5 Tests","com.dxc.iot.tests.StreetLightDashboardTests","com.dxc.iot.tests.StreetLightDashboardTests","testPreviousPageOnFirstPageIsNoOp_SL014","testPreviousPageOnFirstPageIsNoOp_SL014",""
"passed","Sat Jul 04 17:57:11 EEST 2026","Sat Jul 04 17:59:11 EEST 2026","120470","IoT Automation Suite","Sprint 4 & 5 Tests","com.dxc.iot.tests.StreetLightNotificationTests","com.dxc.iot.tests.StreetLightNotificationTests","testMixedNotifications_SLN004","testMixedNotifications_SLN004","Confirms the notification panel can display Street Light alerts alongside existing Traffic alerts — bell badge counts all sources."
"passed","Sat Jul 04 18:08:11 EEST 2026","Sat Jul 04 18:08:15 EEST 2026","4495","IoT Automation Suite","Sprint 4 & 5 Tests","com.dxc.iot.tests.AirPollutionDashboardTests","com.dxc.iot.tests.AirPollutionDashboardTests","testExpandOzoneChartShowsStats_APCG009","testExpandOzoneChartShowsStats_APCG009",""
"passed","Sat Jul 04 17:52:23 EEST 2026","Sat Jul 04 17:52:28 EEST 2026","4769","IoT Automation Suite","Sprint 4 & 5 Tests","com.dxc.iot.tests.StreetLightDashboardTests","com.dxc.iot.tests.StreetLightDashboardTests","testExpandChartShowsStats_SLCG004","testExpandChartShowsStats_SLCG004",""
"passed","Sat Jul 04 17:10:19 EEST 2026","Sat Jul 04 17:10:21 EEST 2026","2054","IoT Automation Suite","Regression Tests","com.dxc.iot.tests.SessionTests","com.dxc.iot.tests.SessionTests","testAuthenticatedUserBlockedFromLogin_A067","testAuthenticatedUserBlockedFromLogin_A067",""
"passed","Sat Jul 04 17:19:01 EEST 2026","Sat Jul 04 17:21:01 EEST 2026","120507","IoT Automation Suite","Sprint 3 Tests","com.dxc.iot.tests.NotificationTests","com.dxc.iot.tests.NotificationTests","testNotificationMessageContainsLocation_NT013","testNotificationMessageContainsLocation_NT013","Asserts message contains one of the 3 confirmed locations: Industrial Zone B, Main St & 1st Ave, Central Park North."
"passed","Sat Jul 04 17:56:54 EEST 2026","Sat Jul 04 17:56:59 EEST 2026","4815","IoT Automation Suite","Sprint 4 & 5 Tests","com.dxc.iot.tests.StreetLightDashboardTests","com.dxc.iot.tests.StreetLightDashboardTests","testStreetLightDashboardLoads_SL001","testStreetLightDashboardLoads_SL001","Navigates to /street-light and asserts the data table is visible with at least one row."
"passed","Sat Jul 04 17:43:28 EEST 2026","Sat Jul 04 17:43:34 EEST 2026","6336","IoT Automation Suite","Sprint 3 Tests","com.dxc.iot.tests.TrafficDashboardTests","com.dxc.iot.tests.TrafficDashboardTests","testPreviousPageNavigation_TD013","testPreviousPageNavigation_TD013","Goes to page 2 then Previous and asserts page 1 is restored."
"passed","Sat Jul 04 17:44:58 EEST 2026","Sat Jul 04 17:45:32 EEST 2026","33459","IoT Automation Suite","Sprint 3 Tests","com.dxc.iot.tests.TrafficDashboardTests","com.dxc.iot.tests.TrafficDashboardTests","testToastAppearsOnThresholdBreach_TD018","testToastAppearsOnThresholdBreach_TD018","Waits up to 30s for a toast. Skips gracefully if no threshold breached."
